Neighborhood,Latitude,Longitude,City,1th Most Common Venues,2th Most Common Venues,3th Most Common Venues,4th Most Common Venues,5th Most Common Venues,6th Most Common Venues,7th Most Common Venues,8th Most Common Venues,9th Most Common Venues,10th Most Common Venues,Cluster,Cluster-User
Roosevelt Island,40.76215961,-73.94916769,NYC,Park,Coffee Shop,Dry Cleaner,Sandwich Place,Scenic Lookout,Liquor Store,Gym / Fitness Center,Gym,Outdoors & Recreation,Kosher Restaurant,2,3
Upper West Side,40.787658,-73.97705924,NYC,Italian Restaurant,Bakery,Wine Bar,Café,Coffee Shop,Indian Restaurant,Vegetarian / Vegan Restaurant,Seafood Restaurant,American Restaurant,Pizza Place,2,3
Bergen Beach,40.61514955,-73.89855634,NYC,Harbor / Marina,Baseball Field,Athletics & Sports,Park,Hockey Field,Playground,Yoga Studio,Farm,Escape Room,Ethiopian Restaurant,2,3
Dumbo,40.70317633,-73.98875281,NYC,Park,Scenic Lookout,Yoga Studio,Bakery,Bookstore,Boxing Gym,Coffee Shop,Gym,Ice Cream Shop,Italian Restaurant,2,3
East Williamsburg,40.70849241,-73.93885815,NYC,Bakery,Bar,Mexican Restaurant,Cocktail Bar,Deli / Bodega,Café,Sandwich Place,Vegetarian / Vegan Restaurant,Record Shop,Coffee Shop,2,3
North Side,40.71482291,-73.95880858,NYC,Coffee Shop,Pizza Place,Yoga Studio,Bakery,Vegetarian / Vegan Restaurant,American Restaurant,Wine Bar,Sushi Restaurant,Shoe Store,Salon / Barbershop,2,3
South Side,40.71086147,-73.95800095,NYC,Bar,Pizza Place,American Restaurant,Coffee Shop,Wine Bar,Yoga Studio,Caribbean Restaurant,Latin American Restaurant,Grocery Store,Mexican Restaurant,2,3
Weeksville,40.67503987,-73.93053109,NYC,Check Cashing Service,Park,History Museum,Coffee Shop,Cocktail Bar,Discount Store,Bus Line,Gas Station,Grocery Store,Metro Station,2,3
Vinegar Hill,40.7033215,-73.98111604,NYC,Food Truck,Café,Coffee Shop,Bike Rental / Bike Share,Bar,Performing Arts Venue,Bakery,Scenic Lookout,Sandwich Place,Pharmacy,2,3
Lincoln Square,40.77352889,-73.98533777,NYC,Plaza,Café,Concert Hall,Theater,Performing Arts Venue,Gym / Fitness Center,Bakery,Park,Hotel,Indie Movie Theater,2,3
Chinatown,40.71561842,-73.99427936,NYC,Bakery,Chinese Restaurant,Cocktail Bar,Optical Shop,Spa,Salon / Barbershop,Ice Cream Shop,Dessert Shop,American Restaurant,New American Restaurant,2,3
Inwood,40.86768396,-73.92121042,NYC,Mexican Restaurant,Café,Lounge,Park,Bakery,Bank,Wine Bar,Caribbean Restaurant,Pizza Place,Deli / Bodega,2,3
Hamilton Heights,40.82360428,-73.94968792,NYC,Pizza Place,Sandwich Place,Mexican Restaurant,Café,Yoga Studio,Indian Restaurant,Deli / Bodega,Juice Bar,Latin American Restaurant,Cocktail Bar,2,3
Manhattanville,40.81693443,-73.95738539,NYC,Italian Restaurant,Mexican Restaurant,Coffee Shop,Bank,Supermarket,Bus Station,Spanish Restaurant,Sushi Restaurant,Cosmetics Shop,Chinese Restaurant,2,3
Central Harlem,40.81597607,-73.94321113,NYC,African Restaurant,Seafood Restaurant,French Restaurant,Fried Chicken Joint,Sandwich Place,Bar,Gym / Fitness Center,American Restaurant,Cosmetics Shop,BBQ Joint,2,3
Fulton Ferry,40.70328109,-73.99550752,NYC,Park,Ice Cream Shop,Pizza Place,Bakery,Scenic Lookout,Clothing Store,Coffee Shop,Italian Restaurant,Café,Seafood Restaurant,2,3
Upper East Side,40.77563857,-73.96050763,NYC,Italian Restaurant,Spa,Bakery,Exhibit,American Restaurant,Coffee Shop,Hotel,Juice Bar,Yoga Studio,Wine Shop,2,3
Yorkville,40.77592985,-73.94711784,NYC,Italian Restaurant,Japanese Restaurant,Coffee Shop,Gym,Sushi Restaurant,Bar,Deli / Bodega,Diner,Wine Shop,Park,2,3
Washington Heights,40.85190253,-73.93690028,NYC,Café,Pizza Place,Bakery,Bank,Mobile Phone Shop,Grocery Store,Chinese Restaurant,Pharmacy,Donut Shop,Sandwich Place,2,3
Battery Park City,40.71193198,-74.01686931,NYC,Park,Hotel,Coffee Shop,Gym,Memorial Site,Shopping Mall,Chinese Restaurant,Plaza,Wine Shop,Playground,2,3
Elmhurst,40.74404851,-73.88165622,NYC,Thai Restaurant,Mexican Restaurant,Pizza Place,South American Restaurant,Indonesian Restaurant,Colombian Restaurant,Bar,Gym / Fitness Center,Malay Restaurant,Food Court,2,3
Astoria,40.76850859,-73.91565374,NYC,Middle Eastern Restaurant,Bar,Bakery,Greek Restaurant,Seafood Restaurant,Italian Restaurant,Hookah Bar,Indian Restaurant,Gym,Mediterranean Restaurant,2,3
Civic Center,40.71522892,-74.0054153,NYC,Coffee Shop,Spa,Cocktail Bar,French Restaurant,Gym / Fitness Center,Hotel,Yoga Studio,Bakery,Café,Falafel Restaurant,2,3
Noho,40.72325902,-73.98843368,NYC,Italian Restaurant,Cocktail Bar,Coffee Shop,Hotel,Japanese Restaurant,Grocery Store,Wine Bar,Art Gallery,Sushi Restaurant,Bookstore,2,3
Church and Wellesley,43.6658599,-79.3831599,Toronto,Sushi Restaurant,Japanese Restaurant,Gay Bar,Restaurant,Coffee Shop,Indian Restaurant,Fast Food Restaurant,Mediterranean Restaurant,Burrito Place,Gym,2,3
Carnegie Hill,40.78268257,-73.95325647,NYC,Coffee Shop,Pizza Place,Wine Shop,Café,Gym,Cosmetics Shop,Japanese Restaurant,French Restaurant,Sushi Restaurant,Pub,2,3
Steinway,40.77592302,-73.9022896,NYC,Rental Car Location,Cosmetics Shop,Deli / Bodega,Dessert Shop,Sushi Restaurant,Supermarket,Brewery,Café,Shop & Service,Discount Store,2,3
Charleston,40.53053148,-74.23215776,NYC,Cosmetics Shop,Shoe Store,Coffee Shop,Big Box Store,Pizza Place,Gym / Fitness Center,Bakery,Gift Shop,Hardware Store,Toy / Game Store,2,3
Arverne,40.58914394,-73.79199233,NYC,Surf Spot,Sandwich Place,Metro Station,Board Shop,Coffee Shop,Café,Bus Stop,Pizza Place,Beach,Playground,2,3
Midtown South,40.74850966,-73.98871313,NYC,Korean Restaurant,Hotel,Bakery,Hotel Bar,Gym / Fitness Center,Dessert Shop,Salad Place,Japanese Restaurant,Café,Coffee Shop,2,3
Rockaway Beach,40.5828017,-73.82236121,NYC,Beach,Latin American Restaurant,Fast Food Restaurant,Metro Station,Seafood Restaurant,Arepa Restaurant,BBQ Joint,Ice Cream Shop,Food Stand,Moving Target,2,3
Jamaica Estates,40.71680483,-73.78722697,NYC,Intersection,Indian Restaurant,Dog Run,Yoga Studio,Field,English Restaurant,Escape Room,Ethiopian Restaurant,Event Service,Event Space,2,3
Lefrak City,40.73607457,-73.86252471,NYC,Furniture / Home Store,Ice Cream Shop,Mobile Phone Shop,Bakery,Bank,Mexican Restaurant,Liquor Store,Snack Place,Pet Store,Health & Beauty Service,2,3
St. George,40.64498157,-74.07935313,NYC,Clothing Store,Italian Restaurant,Bar,Sporting Goods Shop,Theater,Outlet Mall,Park,Tourist Information Center,Toy / Game Store,Scenic Lookout,2,3
West Brighton,40.63187893,-74.10718178,NYC,Coffee Shop,Italian Restaurant,Bank,Cosmetics Shop,Salon / Barbershop,Bar,Burger Joint,Bagel Shop,Sandwich Place,Supermarket,2,3
Travis,40.58631375,-74.19073718,NYC,Gym,Hotel,Bowling Alley,Deli / Bodega,Park,Baseball Field,Donut Shop,Café,Sports Club,Comedy Club,2,3
Silver Lake,40.61919311,-74.09629029,NYC,Golf Course,Burger Joint,American Restaurant,Yoga Studio,Ethiopian Restaurant,Event Service,Event Space,Exhibit,Factory,Falafel Restaurant,2,3
Tompkinsville,40.63731607,-74.08055352,NYC,Brewery,Park,Café,Gastropub,Bus Stop,Rock Club,Mexican Restaurant,Caribbean Restaurant,Liquor Store,Train Station,2,3
Floral Park,40.74137842,-73.70884706,NYC,Indian Restaurant,Basketball Court,Grocery Store,Playground,Salon / Barbershop,Yoga Studio,Farmers Market,English Restaurant,Escape Room,Ethiopian Restaurant,2,3
Financial District,40.70710711,-74.01066545,NYC,Coffee Shop,Pizza Place,Gym / Fitness Center,Cocktail Bar,Falafel Restaurant,American Restaurant,Steakhouse,Café,Plaza,Japanese Restaurant,2,3
Richmond Town,40.56960594,-74.1340573,NYC,Italian Restaurant,Bagel Shop,Café,Spa,Fast Food Restaurant,Escape Room,Ethiopian Restaurant,Event Service,Event Space,Exhibit,2,3
Jamaica Center,40.70465736,-73.79690166,NYC,Clothing Store,Pizza Place,Coffee Shop,Sandwich Place,Kids Store,Mobile Phone Shop,Mexican Restaurant,Performing Arts Venue,Shoe Store,BBQ Joint,2,3
Jackson Heights,40.75198138,-73.88282109,NYC,Mobile Phone Shop,Latin American Restaurant,South American Restaurant,Peruvian Restaurant,Bakery,Grocery Store,Kids Store,Empanada Restaurant,Clothing Store,Supermarket,2,3
Prospect Lefferts Gardens,40.65842002,-73.95489867,NYC,Café,Pizza Place,Caribbean Restaurant,Supermarket,Sushi Restaurant,Bakery,Indian Restaurant,Bookstore,Music Venue,Restaurant,2,3
Sunnyside Gardens,40.74565181,-73.91819286,NYC,Bar,Grocery Store,Pizza Place,Sandwich Place,Coffee Shop,American Restaurant,Turkish Restaurant,Pharmacy,Bank,Ice Cream Shop,2,3
Flatiron,40.73967305,-73.99094711,NYC,Italian Restaurant,American Restaurant,Spa,Japanese Restaurant,New American Restaurant,Wine Shop,Coffee Shop,Gym / Fitness Center,Mediterranean Restaurant,Art Gallery,2,3
Forest Hills,40.72526378,-73.84447501,NYC,Gym / Fitness Center,Yoga Studio,Asian Restaurant,Pharmacy,Convenience Store,Park,Thai Restaurant,Gym,Supermarket,Spa,2,3
Stuyvesant Town,40.73099955,-73.9740517,NYC,Boat or Ferry,Park,Yoga Studio,Coffee Shop,Gas Station,Bistro,Farmers Market,Bar,Harbor / Marina,Heliport,2,3
Tudor City,40.74691741,-73.97121929,NYC,Park,Café,Deli / Bodega,Bank,Mexican Restaurant,Ice Cream Shop,Thai Restaurant,Restaurant,Pizza Place,Gym / Fitness Center,2,3
Hollis,40.71124344,-73.75925009,NYC,Park,Baseball Field,Sandwich Place,Mobile Phone Shop,Asian Restaurant,Discount Store,Bakery,Lounge,Electronics Store,Shopping Mall,2,3
Flushing,40.7644542,-73.831773,NYC,Korean Restaurant,Hotpot Restaurant,Chinese Restaurant,Karaoke Bar,Gym,Food Truck,Mobile Phone Shop,Construction & Landscaping,Gym / Fitness Center,Bubble Tea Shop,2,3
Turtle Bay,40.75204237,-73.96770825,NYC,Italian Restaurant,Deli / Bodega,Park,Sushi Restaurant,Coffee Shop,Steakhouse,French Restaurant,Seafood Restaurant,Café,Grocery Store,2,3
Hunters Point,40.74341409,-73.95386782,NYC,Café,Italian Restaurant,Japanese Restaurant,American Restaurant,Asian Restaurant,Bar,Brewery,Coffee Shop,Gym / Fitness Center,Yoga Studio,2,3
Sutton Place,40.76028033,-73.96355614,NYC,Italian Restaurant,Park,Gym / Fitness Center,Pizza Place,Spa,Steakhouse,Gym,Mexican Restaurant,Hotel,Beer Garden,2,3
Bayside,40.76604063,-73.77427363,NYC,Bar,Spa,Pizza Place,Ice Cream Shop,Italian Restaurant,Chinese Restaurant,Pub,Pharmacy,Mexican Restaurant,Greek Restaurant,2,3
Paerdegat Basin,40.63131755,-73.90233474,NYC,Other Repair Shop,Child Care Service,Auto Garage,Gym,Food,Business Service,Bus Line,Asian Restaurant,Yoga Studio,Farm,2,3
Emerson Hill,40.60679439,-74.09776207,NYC,Casino,Food,Moving Target,Sculpture Garden,Yoga Studio,Fast Food Restaurant,Escape Room,Ethiopian Restaurant,Event Service,Event Space,2,3
Concord,40.60447319,-74.08402365,NYC,Peruvian Restaurant,Thrift / Vintage Store,Deli / Bodega,Train Station,Athletics & Sports,Grocery Store,Coffee Shop,Farm,English Restaurant,Escape Room,2,3
Long Island City,40.75021735,-73.93920224,NYC,Hotel,Coffee Shop,Pizza Place,Bar,Café,Gym / Fitness Center,Mexican Restaurant,Donut Shop,Sandwich Place,Climbing Gym,2,3
Boerum Hill,40.68568291,-73.98374824,NYC,Coffee Shop,Sandwich Place,Bar,Mobile Phone Shop,Arts & Crafts Store,Bank,Dance Studio,French Restaurant,Furniture / Home Store,Middle Eastern Restaurant,2,3
Lenox Hill,40.76811266,-73.95885969,NYC,Italian Restaurant,Café,Pizza Place,Sushi Restaurant,Bank,Cocktail Bar,Gym / Fitness Center,Burger Joint,Gym,Coffee Shop,2,3
Sea Gate,40.57637538,-74.00787311,NYC,Spa,Beach,IT Services,American Restaurant,Bus Station,Yoga Studio,Ethiopian Restaurant,Event Service,Event Space,Exhibit,2,3
"University of Toronto, Harbord",43.6626956,-79.4000493,Toronto,Café,Sandwich Place,Coffee Shop,Bakery,Pub,Bar,Japanese Restaurant,Beer Bar,Bank,Gym,2,3
"Harbourfront East, Union Station, Toronto Islands",43.6408157,-79.3817523,Toronto,Coffee Shop,Café,Hotel,Pizza Place,Scenic Lookout,Aquarium,Italian Restaurant,Gym,Park,Restaurant,2,3
Spuyten Duyvil,40.88139498,-73.91719048,NYC,Bank,American Restaurant,Tennis Stadium,Intersection,Park,Pharmacy,Asian Restaurant,Thai Restaurant,Scenic Lookout,Exhibit,2,3
"Dufferin, Dovercourt Village",43.6690051,-79.4422593,Toronto,Bakery,Middle Eastern Restaurant,Bank,Pizza Place,Coffee Shop,Café,Pharmacy,Liquor Store,Grocery Store,Supermarket,2,3
"Richmond, Adelaide, King",43.6505712,-79.3845675,Toronto,Coffee Shop,Café,Sandwich Place,Clothing Store,Gym,Restaurant,Sushi Restaurant,Hotel,Japanese Restaurant,Pizza Place,2,3
Christie,43.669542,-79.4225637,Toronto,Grocery Store,Café,Park,Italian Restaurant,Restaurant,Nightclub,Athletics & Sports,Coffee Shop,Baby Store,Flea Market,2,3
"Little Portugal, Trinity",43.6479267,-79.4197497,Toronto,Bar,Café,Coffee Shop,Vegetarian / Vegan Restaurant,Asian Restaurant,New American Restaurant,Vietnamese Restaurant,Korean Restaurant,Mac & Cheese Joint,Malay Restaurant,2,3
Central Bay Street,43.6579524,-79.3873826,Toronto,Coffee Shop,Sandwich Place,Sushi Restaurant,Italian Restaurant,Café,Japanese Restaurant,Burger Joint,Bank,Salad Place,Restaurant,2,3
St. James Town,43.6514939,-79.3754179,Toronto,Coffee Shop,Italian Restaurant,Café,Cocktail Bar,Restaurant,Clothing Store,American Restaurant,Beer Bar,Gastropub,Cosmetics Shop,2,3
"Garden District, Ryerson",43.6571618,-79.3789371,Toronto,Coffee Shop,Sandwich Place,Clothing Store,Café,Cosmetics Shop,Pizza Place,Thai Restaurant,Bank,Hotel,Japanese Restaurant,2,3
"Regent Park, Harbourfront",43.6542599,-79.3606359,Toronto,Coffee Shop,Bakery,Park,Café,Pub,Restaurant,Electronics Store,Beer Store,Event Space,Asian Restaurant,2,3
Bay Ridge,40.62580107,-74.03062069,NYC,Italian Restaurant,Chinese Restaurant,Spa,Pizza Place,Bar,American Restaurant,Greek Restaurant,Hookah Bar,Grocery Store,Bagel Shop,2,3
Queensbridge,40.7560913,-73.9456307,NYC,Hotel,Sandwich Place,Roof Deck,Platform,Basketball Court,Gym / Fitness Center,Performing Arts Venue,Park,Cocktail Bar,Scenic Lookout,2,3
Greenpoint,40.73020098,-73.95424093,NYC,Bar,Pizza Place,Coffee Shop,Cocktail Bar,Mexican Restaurant,Record Shop,Yoga Studio,Liquor Store,French Restaurant,Restaurant,2,3
The Beaches,43.6763574,-79.2930312,Toronto,Health Food Store,Construction & Landscaping,Pub,Fast Food Restaurant,Empanada Restaurant,English Restaurant,Escape Room,Ethiopian Restaurant,Event Service,Event Space,2,3
Downtown,40.69084402,-73.98346337,NYC,Chinese Restaurant,Coffee Shop,Sandwich Place,Burger Joint,Bank,American Restaurant,Arts & Crafts Store,Bakery,Pizza Place,Caribbean Restaurant,2,3
"The Danforth West, Riverdale",43.6795571,-79.352188,Toronto,Greek Restaurant,Coffee Shop,Italian Restaurant,Ice Cream Shop,Bank,Sushi Restaurant,Spa,Sandwich Place,Restaurant,Pub,2,3
"Toronto Dominion Centre, Design Exchange",43.6471768,-79.3815764,Toronto,Coffee Shop,Café,Hotel,Sandwich Place,Asian Restaurant,Restaurant,Deli / Bodega,Salad Place,Pharmacy,Japanese Restaurant,2,3
"Parkdale, Roncesvalles",43.6489597,-79.456325,Toronto,Coffee Shop,Cuban Restaurant,Restaurant,Movie Theater,Bar,Bank,Eastern European Restaurant,Dog Run,Dessert Shop,Breakfast Spot,2,3
"The Annex, North Midtown, Yorkville",43.6727097,-79.4056784,Toronto,Sandwich Place,Café,Coffee Shop,BBQ Joint,Pharmacy,Pizza Place,Middle Eastern Restaurant,Liquor Store,Park,Pet Store,2,3
North Toronto West,43.7153834,-79.4056784,Toronto,Sporting Goods Shop,Coffee Shop,Pet Store,Park,Clothing Store,Café,Spa,Diner,Fast Food Restaurant,Chinese Restaurant,2,3
"High Park, The Junction South",43.6616083,-79.4647633,Toronto,Café,Mexican Restaurant,Bar,Italian Restaurant,Bakery,Diner,Fast Food Restaurant,Cajun / Creole Restaurant,Speakeasy,Fried Chicken Joint,2,3
Forest Hill North & West,43.6969476,-79.4113072,Toronto,Trail,Sushi Restaurant,Jewelry Store,Bus Line,Yoga Studio,Field,Escape Room,Ethiopian Restaurant,Event Service,Event Space,2,3
Davisville North,43.7127511,-79.3901975,Toronto,Playground,Breakfast Spot,Food & Drink Shop,Gym / Fitness Center,Park,Department Store,Sandwich Place,Pizza Place,Hotel,Factory,2,3
Roselawn,43.7116948,-79.4169356,Toronto,Health & Beauty Service,Garden,Field,English Restaurant,Escape Room,Ethiopian Restaurant,Event Service,Event Space,Exhibit,Factory,2,3
Studio District,43.6595255,-79.340923,Toronto,Coffee Shop,Bakery,Café,Gastropub,Italian Restaurant,Middle Eastern Restaurant,Latin American Restaurant,Cheese Shop,Comfort Food Restaurant,Fish Market,2,3
Port Morris,40.80166363,-73.91322139,NYC,Furniture / Home Store,Peruvian Restaurant,Distillery,Spanish Restaurant,Grocery Store,Bar,Brewery,Donut Shop,Latin American Restaurant,Storage Facility,2,3
"Commerce Court, Victoria Hotel",43.6481985,-79.3798169,Toronto,Coffee Shop,Café,Sandwich Place,Hotel,Restaurant,Gym,Japanese Restaurant,Deli / Bodega,Cocktail Bar,Bank,2,3
Hunts Point,40.80972988,-73.88331506,NYC,Waste Facility,Seafood Restaurant,Pizza Place,Café,Gourmet Shop,Grocery Store,Juice Bar,Farmers Market,Bank,BBQ Joint,2,3
Davisville,43.7043244,-79.3887901,Toronto,Café,Sandwich Place,Pizza Place,Sushi Restaurant,Thai Restaurant,Coffee Shop,Dessert Shop,Toy / Game Store,Pharmacy,Seafood Restaurant,2,3
"India Bazaar, The Beaches West",43.6689985,-79.3155716,Toronto,Fast Food Restaurant,Park,Italian Restaurant,Restaurant,Steakhouse,Pet Store,Liquor Store,Coffee Shop,Sandwich Place,Movie Theater,2,3
"Brockton, Parkdale Village, Exhibition Place",43.6368472,-79.4281914,Toronto,Breakfast Spot,Café,Bakery,Coffee Shop,Sandwich Place,Italian Restaurant,Restaurant,Nightclub,Furniture / Home Store,Grocery Store,2,3
Throgs Neck,40.81510926,-73.81635002,NYC,Italian Restaurant,Sports Bar,Coffee Shop,Asian Restaurant,Pizza Place,Home Service,Mobile Phone Shop,American Restaurant,Bar,Juice Bar,2,3
Hudson Yards,40.75665808,-74.00011136,NYC,American Restaurant,Gym / Fitness Center,Italian Restaurant,Restaurant,Hotel,Boat or Ferry,Burger Joint,Gym,Coffee Shop,Park,2,3
Sheepshead Bay,40.58689013,-73.9431864,NYC,Turkish Restaurant,Dessert Shop,Yoga Studio,Grocery Store,Russian Restaurant,Restaurant,Pizza Place,Outlet Store,Miscellaneous Shop,Hotel,2,3
Berczy Park,43.6447708,-79.3733064,Toronto,Cocktail Bar,Sandwich Place,Coffee Shop,Bakery,Seafood Restaurant,Farmers Market,Beer Bar,Vegetarian / Vegan Restaurant,Cheese Shop,Thai Restaurant,2,3
"Kensington Market, Chinatown, Grange Park",43.6532057,-79.4000493,Toronto,Café,Vegetarian / Vegan Restaurant,Coffee Shop,Vietnamese Restaurant,Bar,Thai Restaurant,Burger Joint,Mexican Restaurant,Gaming Cafe,Belgian Restaurant,2,3
Clinton Hill,40.69322942,-73.96784306,NYC,Pizza Place,Italian Restaurant,Wine Shop,Japanese Restaurant,Grocery Store,Mexican Restaurant,Caribbean Restaurant,Thai Restaurant,Indian Restaurant,Sandwich Place,2,3
"First Canadian Place, Underground city",43.6484292,-79.3822802,Toronto,Coffee Shop,Sandwich Place,Café,Hotel,Japanese Restaurant,Bank,Gym,Restaurant,Asian Restaurant,Sushi Restaurant,2,3
Egbertville,40.57911874,-74.12727241,NYC,Italian Restaurant,Bagel Shop,Cosmetics Shop,Clothing Store,Field,Escape Room,Ethiopian Restaurant,Event Service,Event Space,Exhibit,2,3
"St. James Town, Cabbagetown",43.667967,-79.3676753,Toronto,Coffee Shop,Bakery,Italian Restaurant,Café,Pub,Pizza Place,Restaurant,Chinese Restaurant,Sandwich Place,Park,2,3
Enclave of M5E,43.6464352,-79.374846,Toronto,Sandwich Place,Coffee Shop,Cocktail Bar,Italian Restaurant,Bank,Bakery,Café,Japanese Restaurant,Beer Bar,Hotel,2,3
"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",43.6289467,-79.3944199,Toronto,Airport Service,Airport Lounge,Sculpture Garden,Plane,Boat or Ferry,Harbor / Marina,Boutique,Rental Car Location,Airport Terminal,Coffee Shop,2,3
Coney Island,40.57429256,-73.98868296,NYC,Monument / Landmark,Beach,Italian Restaurant,Smoke Shop,Music Venue,Food Stand,Café,Caribbean Restaurant,Baseball Stadium,Theme Park Ride / Attraction,2,3
Lighthouse Hill,40.57650629,-74.13792664,NYC,Italian Restaurant,Café,Trail,Art Museum,Spa,Food Court,Farmers Market,Escape Room,Fountain,Ethiopian Restaurant,2,3
