City,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
NYC,Wakefield,40.89470517661,-73.84720052054902,Lollipops Gelato,40.894123150205274,-73.84589162362325,Dessert Shop
NYC,Wakefield,40.89470517661,-73.84720052054902,Walgreens,40.896528,-73.8447,Pharmacy
NYC,Wakefield,40.89470517661,-73.84720052054902,Carvel Ice Cream,40.890486685759605,-73.84856772568665,Ice Cream Shop
NYC,Wakefield,40.89470517661,-73.84720052054902,Cooler Runnings Jamaican Restaurant,40.898083,-73.850259,Caribbean Restaurant
NYC,Wakefield,40.89470517661,-73.84720052054902,Subway,40.89046821651127,-73.8491520209833,Sandwich Place
NYC,Wakefield,40.89470517661,-73.84720052054902,Rite Aid,40.896649,-73.8448461,Pharmacy
NYC,Wakefield,40.89470517661,-73.84720052054902,Dunkin',40.8904587811365,-73.84908886747644,Donut Shop
NYC,Wakefield,40.89470517661,-73.84720052054902,Central Deli,40.896728,-73.844387,Deli / Bodega
NYC,Wakefield,40.89470517661,-73.84720052054902,Koss Quick Wash,40.891281,-73.84990400000001,Laundromat
NYC,Co-op City,40.87429419303012,-73.82993910812398,United States Postal Service,40.876544999714135,-73.82897794246674,Post Office
NYC,Co-op City,40.87429419303012,-73.82993910812398,Capri II Pizza,40.87637420537464,-73.82994042507629,Pizza Place
NYC,Co-op City,40.87429419303012,-73.82993910812398,Rite Aid,40.8703448818904,-73.82830202579498,Pharmacy
NYC,Co-op City,40.87429419303012,-73.82993910812398,Arby's,40.8704113,-73.828606,Fast Food Restaurant
NYC,Co-op City,40.87429419303012,-73.82993910812398,Townhouse Restaurant,40.876085887834265,-73.82886815052547,Restaurant
NYC,Co-op City,40.87429419303012,-73.82993910812398,Food Universe Marketplace,40.87673987981054,-73.82898048976519,Grocery Store
NYC,Co-op City,40.87429419303012,-73.82993910812398,Dunkin',40.86981194446771,-73.82947336794007,Donut Shop
NYC,Co-op City,40.87429419303012,-73.82993910812398,Dollar Tree,40.87012498449601,-73.82898863175873,Discount Store
NYC,Co-op City,40.87429419303012,-73.82993910812398,MTA MaBSTOA Bus Bx28 / Bx30 / Bx38 / MTA Bus Bx23/ BxM7/ Q50 at the Dreiser Loop / Co-op City Blvd (Section 1/2),40.875943195045075,-73.82940420195395,Bus Station
NYC,Co-op City,40.87429419303012,-73.82993910812398,GREEN WAY IN CO OP CITY,40.87454754839479,-73.82618915642101,Trail
NYC,Co-op City,40.87429419303012,-73.82993910812398,The Park,40.87764512391663,-73.83083580661068,Park
